use_id,jurisdiction,product_id,product_label_original,product_label_en,product_label_search,active_ingredients_json,active_ingredients_search,crops_json,crops_search,targets_json,targets_search,formulations_json,formulations_search,registration_status,registration_date,expiry_date,pairing_status,source_record_id,source_url
HU:USE:dfb2e1f113f29e24b6e64064,HU,HU:PRODUCT:46b8ccc36c9523a53d7bad5d,Krypt 540,,Krypt 540 | ,"[{""id"": ""HU:AI:544f5a919d7846399ff3b8bf"", ""label_original"": ""glifozát"", ""label_en"": ""glifozát""}]",glifozát,"[{""id"": ""HU:CROP:91ea0819ab43444f80eb680f"", ""label_original"": ""Alma - ULT01, Birs - ULT18, Cseresznye - ULT17, Dió - ULT08, Kajszibarack (sárgabarack) - ULT04, Körte - ULT15, kukorica(szemes), Mandula - ULT10, Meggy - ULT16, Mogyoró - ULT09, Naspolya - ULT07, Nektarin - ULT05, Őszi árpa - KAL17, Őszi búza - KAL01, Őszi káposztarepce - IND03, Őszibarack - ULT03, Ringló, Szelídgesztenye - ULT11, Szilva - ULT06, Szőlő (bor), Szőlő (csemege), Tavaszi árpa - KAL18, Tavaszi káposztarepce - IND04"", ""label_en"": """"}]","Alma - ULT01, Birs - ULT18, Cseresznye - ULT17, Dió - ULT08, Kajszibarack (sárgabarack) - ULT04, Körte - ULT15, kukorica(szemes), Mandula - ULT10, Meggy - ULT16, Mogyoró - ULT09, Naspolya - ULT07, Nektarin - ULT05, Őszi árpa - KAL17, Őszi búza - KAL01, Őszi káposztarepce - IND03, Őszibarack - ULT03, Ringló, Szelídgesztenye - ULT11, Szilva - ULT06, Szőlő (bor), Szőlő (csemege), Tavaszi árpa - KAL18, Tavaszi káposztarepce - IND04","[{""id"": ""HU:TARGET:0f0500c4f5ca64028491701f"", ""label_original"": ""Évelő egy- és kétszikű gyomok, magról kelő egy- és kétszikű gyomok"", ""label_en"": """"}]","Évelő egy- és kétszikű gyomok, magról kelő egy- és kétszikű gyomok",[],,alapengedély,2025-10-16,2028-12-31,pairing_not_asserted,RAW:81349d7dc9a54bbe957b881e,10
HU:USE:8ec82471850d2a25eba30298,HU,HU:PRODUCT:2faaff790d27f6c9f0daa68f,Powerfull,,Powerfull | ,"[{""id"": ""HU:AI:8665aaaa35626834a5da7f5d"", ""label_original"": ""Deltametrin"", ""label_en"": ""Deltametrin""}]",Deltametrin,"[{""id"": ""HU:CROP:9b65bd0f16c3584cac5981b8"", ""label_original"": ""Mustár, Őszi árpa - KAL17, Őszi búza - KAL01, Őszi káposztarepce - IND03, Rozs - KAL15, Tavaszi árpa - KAL18, Tavaszi káposztarepce - IND04, Tritikálé, Zab"", ""label_en"": """"}]","Mustár, Őszi árpa - KAL17, Őszi búza - KAL01, Őszi káposztarepce - IND03, Rozs - KAL15, Tavaszi árpa - KAL18, Tavaszi káposztarepce - IND04, Tritikálé, Zab","[{""id"": ""HU:TARGET:17ceccef844c5969068c724e"", ""label_original"": ""levéltetvek, repcebecőormányos, repce-fénybogár, repceszárormányos, vetésfehérítő bogarak"", ""label_en"": """"}]","levéltetvek, repcebecőormányos, repce-fénybogár, repceszárormányos, vetésfehérítő bogarak",[],,származtatott,2017-03-17,2027-10-31,pairing_not_asserted,RAW:128bf93735c25d503d46806a,14
IE:USE:77d0a21db54bba6062a7eac5,IE,IE:PRODUCT:3e9e4089432bbe18f82dce27,Floniki,Floniki,Floniki | Floniki,"[{""id"": ""IE:AI:a32b771cb8baa2a53dc7cc5c"", ""label_original"": ""Flonicamid - 500 g/kg"", ""label_en"": ""Flonicamid - 500 g/kg""}]",Flonicamid - 500 g/kg,"[{""id"": ""IE:CROP:f5903f51e341a783e69ffc2d"", ""label_original"": ""Apples"", ""label_en"": ""Apples""}, {""id"": ""IE:CROP:df0f8315c84697e3c7f10801"", ""label_original"": ""Oats - spring"", ""label_en"": ""Oats - spring""}, {""id"": ""IE:CROP:c343118f9b488041bea18e09"", ""label_original"": ""Wheat - spring"", ""label_en"": ""Wheat - spring""}, {""id"": ""IE:CROP:384123be9bdeecb95591b35f"", ""label_original"": ""Potatoes - ware crops"", ""label_en"": ""Potatoes - ware crops""}, {""id"": ""IE:CROP:4952230bae156935f14fb560"", ""label_original"": ""Beet - sugar"", ""label_en"": ""Beet - sugar""}, {""id"": ""IE:CROP:e20404a503c600e151245386"", ""label_original"": ""Oats - winter"", ""label_en"": ""Oats - winter""}, {""id"": ""IE:CROP:890008c2ffe3309c698a1446"", ""label_original"": ""Barley - spring"", ""label_en"": ""Barley - spring""}, {""id"": ""IE:CROP:66e99f0d8ec9f02f2036c7df"", ""label_original"": ""Triticale"", ""label_en"": ""Triticale""}, {""id"": ""IE:CROP:6ee8fd010236f0a875f2e718"", ""label_original"": ""Rye - spring"", ""label_en"": ""Rye - spring""}, {""id"": ""IE:CROP:6dcf3ef382523b8aaf057569"", ""label_original"": ""Wheat - winter"", ""label_en"": ""Wheat - winter""}, {""id"": ""IE:CROP:88268b539de1fda78904caa6"", ""label_original"": ""Oilseed Rape - winter"", ""label_en"": ""Oilseed Rape - winter""}, {""id"": ""IE:CROP:ed086a3a203062f8a0aab955"", ""label_original"": ""Pears"", ""label_en"": ""Pears""}, {""id"": ""IE:CROP:a4046ff3bc2899a4e854379e"", ""label_original"": ""Beet - fodder"", ""label_en"": ""Beet - fodder""}, {""id"": ""IE:CROP:84844ab2fe15153e58d1421b"", ""label_original"": ""Spelt"", ""label_en"": ""Spelt""}, {""id"": ""IE:CROP:96595e3f9270137cd0c6edb4"", ""label_original"": ""Barley - winter"", ""label_en"": ""Barley - winter""}, {""id"": ""IE:CROP:589523e1679b1b96d98417ea"", ""label_original"": ""Potatoes - seed crops"", ""label_en"": ""Potatoes - seed crops""}, {""id"": ""IE:CROP:c0fc00d87e7eecf57989d5c8"", ""label_original"": ""Rye - winter"", ""label_en"": ""Rye - winter""}]",Apples | Oats - spring | Wheat - spring | Potatoes - ware crops | Beet - sugar | Oats - winter | Barley - spring | Triticale | Rye - spring | Wheat - winter | Oilseed Rape - winter | Pears | Beet - fodder | Spelt | Barley - winter | Potatoes - seed crops | Rye - winter,[],,[],,Registered (present in current PRCD database),,,pairing_not_asserted,RAW:476b6c149ad2c3aaf9ee42ff,https://www.pcs.agriculture.gov.ie/pppd/Search/Product?productId=8158
IE:USE:37be1f3c5f841de54f20b01a,IE,IE:PRODUCT:6ba3bda1959ecdaa747be874,Serpent,Serpent,Serpent | Serpent,"[{""id"": ""IE:AI:bbad17a1f7fe725c21f4289e"", ""label_original"": ""Pyraclostrobin - 150 g/l"", ""label_en"": ""Pyraclostrobin - 150 g/l""}, {""id"": ""IE:AI:588d221bda069b4ee95cba5c"", ""label_original"": ""Fluxapyroxad - 75 g/l"", ""label_en"": ""Fluxapyroxad - 75 g/l""}]",Pyraclostrobin - 150 g/l | Fluxapyroxad - 75 g/l,"[{""id"": ""IE:CROP:890008c2ffe3309c698a1446"", ""label_original"": ""Barley - spring"", ""label_en"": ""Barley - spring""}, {""id"": ""IE:CROP:6ee8fd010236f0a875f2e718"", ""label_original"": ""Rye - spring"", ""label_en"": ""Rye - spring""}, {""id"": ""IE:CROP:e20404a503c600e151245386"", ""label_original"": ""Oats - winter"", ""label_en"": ""Oats - winter""}, {""id"": ""IE:CROP:df0f8315c84697e3c7f10801"", ""label_original"": ""Oats - spring"", ""label_en"": ""Oats - spring""}, {""id"": ""IE:CROP:c0fc00d87e7eecf57989d5c8"", ""label_original"": ""Rye - winter"", ""label_en"": ""Rye - winter""}, {""id"": ""IE:CROP:96595e3f9270137cd0c6edb4"", ""label_original"": ""Barley - winter"", ""label_en"": ""Barley - winter""}]",Barley - spring | Rye - spring | Oats - winter | Oats - spring | Rye - winter | Barley - winter,[],,[],,Registered (present in current PRCD database),,,pairing_not_asserted,RAW:8dc386da641d23a48eb7ff26,https://www.pcs.agriculture.gov.ie/pppd/Search/Product?productId=7854
JP:USE:50afbf30c29b41d96e4be724,JP,JP:PRODUCT:42f34109087d20eb16d58b31,シンゲキ1キロ粒剤,,シンゲキ1キロ粒剤 | ,[],,[],,[],,[],,,,,official_pair_asserted,RAW:1dd707f33e132ee5f7a24361,https://www.acis.famic.go.jp/ddata/datacsv/R0808050.zip
JP:USE:b35f521034515d23de14c4e0,JP,JP:PRODUCT:635f031b14ed05f679675e35,ファーストオリゼフェルテラ粒剤,,ファーストオリゼフェルテラ粒剤 | ,[],,[],,[],,[],,,,,official_pair_asserted,RAW:4874b1986f9151b1fb34ddb5,https://www.acis.famic.go.jp/ddata/datacsv/R0808050.zip
KR:USE:344ba9f5470600062a834fbb,KR,KR:PRODUCT:565152ef3f0136be11bc6367,밀리언,,밀리언 | ,"[{""id"": ""KR:AI:aad96619319bf28f69213ba6"", ""label_original"": ""Tebuconazole"", ""label_en"": ""Tebuconazole""}]",Tebuconazole,[],,[],,[],,,,,official_pair_asserted,RAW:24548b2527c8243ae75f79b5,https://psis.rda.go.kr/psis/agc/res/agchmRegistStusLst.ps?menuId=PS00263
KR:USE:bc7c2473f9939f19e5203b21,KR,KR:PRODUCT:48ccde1af9881824f1e9efab,경농캪탄,,경농캪탄 | ,[],,[],,[],,[],,,,,official_pair_asserted,RAW:360dd4d9537341569aec697b,https://psis.rda.go.kr/psis/agc/res/agchmRegistStusLst.ps?menuId=PS00263
NL:USE:cb4e5718d6067e3b655e94e6,NL,NL:PRODUCT:d11863f4aa4d0ab9ae71eacd,NSP Metra i-Next 500,,NSP Metra i-Next 500 | ,"[{""id"": ""NL:AI:1e472d8c6aa9abb8862a6975"", ""label_original"": ""metrafenon"", ""label_en"": """"}]",metrafenon,"[{""id"": ""NL:CROP:5ec652471a41c7b2eaaffc63"", ""label_original"": ""Groenteteelt: Vruchtgroenten: Vruchtgroenten van Solanaceae: Aubergine, Tomaat"", ""label_en"": """"}]","Groenteteelt: Vruchtgroenten: Vruchtgroenten van Solanaceae: Aubergine, Tomaat","[{""id"": ""NL:TARGET:318d4c126ba873102bd0e81f"", ""label_original"": ""Schimmels: Hyphomycetes: Hyphomycetales: Oidium, Plectomycetes: Erysiphales: Leveillula taurica"", ""label_en"": """"}]","Schimmels: Hyphomycetes: Hyphomycetales: Oidium, Plectomycetes: Erysiphales: Leveillula taurica",[],,Valid,,2027-11-01,official_pair_asserted,RAW:57e0e0351dec2d3220c40d2e,https://toelatingen.ctgb.nl/
NL:USE:cd1893ad78d7aa211fad18a7,NL,NL:PRODUCT:1a629ad2cac1c0d91625d092,FABULIS OD,,FABULIS OD | ,"[{""id"": ""NL:AI:e026e1fe55c0aed3cf854318"", ""label_original"": ""prohexadion-calcium"", ""label_en"": """"}]",prohexadion-calcium,"[{""id"": ""NL:CROP:29e5bb362e77ac5f6baa80eb"", ""label_original"": ""Akkerbouwgewassen: Granen: Zomergraan: Zomerrogge"", ""label_en"": """"}]",Akkerbouwgewassen: Granen: Zomergraan: Zomerrogge,"[{""id"": ""NL:TARGET:8676cd286e06465993376617"", ""label_original"": ""Groeiregulatoren: Voorkomen van legering"", ""label_en"": """"}]",Groeiregulatoren: Voorkomen van legering,[],,Valid,,2027-05-31,official_pair_asserted,RAW:da3b4b8835330de658a1c340,https://toelatingen.ctgb.nl/
NZ:USE:5160b1de31ebda262e1f2085,NZ,NZ:PRODUCT:64c90e12fbcccb3278965cbf,Fender 320 EC Herbicide,Fender 320 EC Herbicide,Fender 320 EC Herbicide | Fender 320 EC Herbicide,"[{""id"": ""NZ:AI:0c1734fd445ced0ccd30cba3"", ""label_original"": ""DESMEDIPHAM"", ""label_en"": ""DESMEDIPHAM""}]",DESMEDIPHAM,[],,[],,[],,,,,pairing_not_asserted,RAW:8b20d3ed56be1f165cf9e8fa,https://www.epa.govt.nz/database-search/hsno-application-register/
NZ:USE:0c574f1c53628bace13ba7b7,NZ,NZ:PRODUCT:006e57a27c20b7637c7eec37,Penethaject RTU,Penethaject RTU,Penethaject RTU | Penethaject RTU,"[{""id"": ""NZ:AI:5aaca82465472bf9fc346945"", ""label_original"": ""PENETHAMATE HYDRIODIDE"", ""label_en"": ""PENETHAMATE HYDRIODIDE""}]",PENETHAMATE HYDRIODIDE,[],,[],,[],,,,,pairing_not_asserted,RAW:8d6466e6bae61a24aad02e1b,https://www.epa.govt.nz/database-search/hsno-application-register/
US:USE:5900f3aa797bd00c897a856f,US,US:PRODUCT:095e5622b893ea4e16ddf736,Drexel 415 Oil Technical,Drexel 415 Oil Technical,Drexel 415 Oil Technical | Drexel 415 Oil Technical,"[{""id"": ""US:AI:7b1d4b3e9d82d8c5e2422b48"", ""label_original"": ""Mineral oil - includes paraffin oil from 063503"", ""label_en"": ""Mineral oil - includes paraffin oil from 063503""}]",Mineral oil - includes paraffin oil from 063503,[],,[],,[],,Active,04/04/1996,,pairing_not_asserted,RAW:cd7681bb9e153b4605beaf1a,"https://ordspub.epa.gov/ords/pesticides/f?p=PPLS:8:::NO::P8_PUID,P8_RINUM:30972,19713-397"
US:USE:af90372a8c526a51ce5eb185,US,US:PRODUCT:eb02935f24ecd33c7b71e441,Axill Solutions Clethodim 2ec,Axill Solutions Clethodim 2ec,Axill Solutions Clethodim 2ec | Axill Solutions Clethodim 2ec,"[{""id"": ""US:AI:472c7855b5f07e9699217f84"", ""label_original"": ""Clethodim"", ""label_en"": ""Clethodim""}]",Clethodim,[],,[],,[],,Active,02/27/2020,,pairing_not_asserted,RAW:e573bae14b6c5a9984245116,"https://ordspub.epa.gov/ords/pesticides/f?p=PPLS:8:::NO::P8_PUID,P8_RINUM:529336,93809-5"
